=== Per-epoch results ===
 epoch   power_w   elapsed_s  energy_kwh_raw  energy_kwh_adj     co2_g
     1 87.395036  633.612175        0.015382        0.017689  8.738413
     2 88.727445  621.290122        0.015313        0.017610  8.699108
     3 88.959176 3070.371547        0.075872        0.087252 43.102650
     4 84.055595 2931.459108        0.068446        0.078713 38.884163
     5 85.692968 2890.518418        0.068805        0.079125 39.087979
     6 85.813880 2883.399076        0.068732        0.079042 39.046722
     7 89.839097 2884.255111        0.071977        0.082774 40.890398
     8 90.062153 2874.814438        0.071920        0.082708 40.857748
     9 87.795856 2909.215522        0.070949        0.081592 40.306232
    10 86.477104 2914.226793        0.070004        0.080504 39.769192
    11 79.750409 2930.659825        0.064923        0.074661 36.882523
    12 81.206770 2936.780576        0.066246        0.076183 37.634489
    13 84.929417 2924.437438        0.068992        0.079341 39.194287
    14 81.698163 2955.577754        0.067074        0.077135 38.104562
    15 82.255654 2893.921991        0.066123        0.076041 37.564263
    16 83.556793 2933.485012        0.068087        0.078300 38.680130
    17 80.676404 2898.839707        0.064963        0.074708 36.905664
    18 79.336789 2899.785459        0.063905        0.073491 36.304694
    19 80.977957 2992.538426        0.067314        0.077411 38.240965
    20 79.061316 2967.016605        0.065160        0.074934 37.017433
    21 78.854416 2913.935104        0.063827        0.073401 36.260032
    22 79.884313 2997.020374        0.066504        0.076480 37.781003
    23 78.893306 2933.308885        0.064283        0.073925 36.519115
    24 84.588902 2878.385155        0.067633        0.077778 38.422408
    25 81.997256 2922.580131        0.066568        0.076553 37.817084
    26 83.064715 2927.665248        0.067552        0.077684 38.376051

=== Totals ===
Raw energy:       1.656552 kWh
Adjusted energy:  1.905035 kWh
CO2 emissions:    0.941087 kg (941.09 g)
