epoch,run_id,lr,elapsed_s,power_w,loss_total,loss_df,loss_sp,loss_temp,w_df,w_sp,w_temp,ff_val_loss_df,ff_val_loss_sp,ff_val_loss_temp,ff_df_acc,ff_df_balanced_acc,ff_df_precision,ff_df_recall,ff_df_specificity,ff_df_f1,ff_df_mcc,ff_df_tn,ff_df_fp,ff_df_fn,ff_df_tp,ff_df_auc_roc,ff_df_ap,ff_df_n_pos,ff_df_n_neg,ff_df_pred_pos_rate,ff_df_score_min,ff_df_score_max,ff_df_score_mean_pos,ff_df_score_mean_neg,ff_df_eer,ff_df_acc_best_thresh,ff_df_best_threshold,ff_df_video_auc,ff_tmp_acc,ff_tmp_balanced_acc,ff_tmp_precision,ff_tmp_recall,ff_tmp_specificity,ff_tmp_f1,ff_tmp_mcc,ff_tmp_tn,ff_tmp_fp,ff_tmp_fn,ff_tmp_tp,ff_tmp_auc_roc,ff_tmp_ap,ff_tmp_n_pos,ff_tmp_n_neg,ff_tmp_pred_pos_rate,ff_tmp_score_min,ff_tmp_score_max,ff_tmp_score_mean_pos,ff_tmp_score_mean_neg,ff_tmp_bin_acc,ff_tmp_auc,siw_val_loss_df,siw_val_loss_sp,siw_val_loss_temp,siw_sp_acc,siw_sp_balanced_acc,siw_sp_precision,siw_sp_recall,siw_sp_specificity,siw_sp_f1,siw_sp_mcc,siw_sp_tn,siw_sp_fp,siw_sp_fn,siw_sp_tp,siw_sp_auc_roc,siw_sp_ap,siw_sp_n_pos,siw_sp_n_neg,siw_sp_pred_pos_rate,siw_sp_score_min,siw_sp_score_max,siw_sp_score_mean_pos,siw_sp_score_mean_neg,siw_sp_apcer,siw_sp_bpcer,siw_sp_acer,siw_sp_hter,siw_sp_tpr_at_fpr1,siw_sp_auc,siw_sp_recall_Makeup_Cosmetic,siw_sp_n_Makeup_Cosmetic,siw_sp_recall_Makeup_Impersonation,siw_sp_n_Makeup_Impersonation,siw_sp_recall_Makeup_Obfuscation,siw_sp_n_Makeup_Obfuscation,siw_sp_recall_Mannequin,siw_sp_n_Mannequin,siw_sp_recall_Mask_HalfMask,siw_sp_n_Mask_HalfMask,siw_sp_recall_Mask_PaperMask,siw_sp_n_Mask_PaperMask,siw_sp_recall_Mask_TransparentMask,siw_sp_n_Mask_TransparentMask,siw_sp_recall_Paper,siw_sp_n_Paper,siw_sp_recall_Partial_Eye,siw_sp_n_Partial_Eye,siw_sp_recall_Partial_FunnyeyeGlasses,siw_sp_n_Partial_FunnyeyeGlasses,siw_sp_recall_Partial_Mouth,siw_sp_n_Partial_Mouth,siw_sp_recall_Partial_PaperGlasses,siw_sp_n_Partial_PaperGlasses,siw_sp_recall_Replay,siw_sp_n_Replay,siw_sp_recall_Silicone,siw_sp_n_Silicone,siw_tmp_acc,siw_tmp_balanced_acc,siw_tmp_precision,siw_tmp_recall,siw_tmp_specificity,siw_tmp_f1,siw_tmp_mcc,siw_tmp_tn,siw_tmp_fp,siw_tmp_fn,siw_tmp_tp,siw_tmp_auc_roc,siw_tmp_ap,siw_tmp_n_pos,siw_tmp_n_neg,siw_tmp_pred_pos_rate,siw_tmp_score_min,siw_tmp_score_max,siw_tmp_score_mean_pos,siw_tmp_score_mean_neg,siw_tmp_bin_acc,siw_tmp_auc,composite,composite_auc_form,composite_acer_form,monitored,energy_kwh_raw,energy_kwh_adjusted,co2_kg,co2_g,elapsed_min
0,run01,0.00010002,468.4,143.54,2.3833,0.69131,0.08744,1.67916,1.057,1.0572,0.8858,0.6935251287694247,0.0,1.6223874699394658,0.5502392344497608,0.5,0.0,0.0,1.0,0.0,0.0,115,0,94,0,0.4252081406105458,0.3951449684671291,94,115,0.0,0.44384765625,0.49609375,0.4655008518949468,0.4690620754076087,0.5436382754994742,0.5502392344497608,inf,0.4126602564102564,0.4880382775119617,0.500786308973173,0.4503816793893129,0.6276595744680851,0.3739130434782609,0.5244444444444445,0.0016175329089924,43,72,35,59,0.5091119333950046,0.4602821446956696,94,115,0.6267942583732058,0.482666015625,0.525390625,0.5033582322140957,0.5029190726902174,0.4880382775119617,0.5091119333950046,0.0,0.0866166217138572,1.6885961549622672,0.5128205128205128,0.5128205128205128,0.5096525096525096,0.676923076923077,0.3487179487179487,0.5814977973568282,0.0271446642620884,68,127,63,132,0.5313740959894806,0.5320161613578407,195,195,0.6641025641025641,0.479736328125,0.5224609375,0.5033015324519231,0.5027619190705128,0.3230769230769231,0.6512820512820513,0.4871794871794872,0.4871794871794872,0.0146153846153846,0.5313740959894806,0.4545454545454545,11,0.5263157894736842,19,0.7857142857142857,14,0.5,6,0.9285714285714286,14,0.75,4,0.35,20,1.0,6,0.9166666666666666,12,0.8181818181818182,33,0.6666666666666666,21,0.6875,16,1.0,11,0.0,8,0.441025641025641,0.441025641025641,0.4506437768240343,0.5384615384615384,0.3435897435897436,0.4906542056074766,-0.1202541434617106,67,128,90,105,0.4293885601577909,0.4502551483697216,195,195,0.5974358974358974,0.470947265625,0.52294921875,0.5012833032852564,0.5037121895032052,0.441025641025641,0.4293885601577909,0.4782911183000132,0.4782911183000132,0.4690143267155293,0.4782911183000132,0.01867614888888889,0.02147757122222222,0.010609920183777776,10.609920183777776,7.806666666666667
1,run01,0.00020001,440.5,145.17,2.05042,0.60469,0.07044,1.58661,0.998,1.1885,0.8134,0.5072146997136889,0.0,1.3609550488444997,0.7655502392344498,0.7519888991674375,0.8169014084507042,0.6170212765957447,0.8869565217391304,0.703030303030303,0.5293653786911338,102,13,36,58,0.8446808510638297,0.8146680120190459,94,115,0.3397129186602871,0.061309814453125,0.8798828125,0.5755978848071809,0.3140696649966032,0.1826086956519072,0.8325358851674641,0.437744140625,0.7900641025641026,0.6889952153110048,0.6620259019426457,0.8222222222222222,0.3936170212765957,0.9304347826086956,0.5323741007194245,0.3921923420965927,107,8,57,37,0.8792321924144311,0.8452145219462962,94,115,0.215311004784689,0.10284423828125,0.72216796875,0.4801947411070478,0.2710072393002717,0.6889952153110048,0.8792321924144311,0.0,0.0479181062297097,1.4426890347076922,0.8692307692307693,0.8692307692307693,0.8272727272727273,0.9333333333333332,0.8051282051282052,0.8771084337349397,0.7446062735928276,157,38,13,182,0.9493885601577908,0.9494733466777694,195,195,0.5641025641025641,0.1783447265625,0.73681640625,0.6141125801282051,0.4031231219951923,0.0666666666666666,0.1948717948717948,0.1307692307692307,0.1307692307692307,0.451025641025641,0.9493885601577908,0.6363636363636364,11,1.0,19,0.7857142857142857,14,1.0,6,1.0,14,1.0,4,1.0,20,1.0,6,1.0,12,0.9696969696969696,33,1.0,21,0.9375,16,0.6363636363636364,11,1.0,8,0.7846153846153846,0.7846153846153846,0.84472049689441,0.6974358974358974,0.8717948717948718,0.7640449438202247,0.5780857973770663,170,25,59,136,0.8861275476660091,0.896782914989676,195,195,0.4128205128205128,0.10595703125,0.755859375,0.562245843349359,0.3179246168870192,0.7846153846153846,0.8861275476660091,0.8970347056108103,0.8970347056108103,0.8569558101472995,0.8970347056108103,0.0177631625,0.020427636875,0.01009125261625,10.09125261625,7.341666666666667
2,run01,0.0003,440.8,145.75,1.36122,0.33423,0.04559,1.27262,0.8936,1.3647,0.7418,0.4343077049081055,0.0,1.1938413184768748,0.8086124401913876,0.7988899167437558,0.8461538461538461,0.7021276595744681,0.8956521739130435,0.7674418604651163,0.6148528034064354,103,12,28,66,0.8810823311748381,0.8736230940487539,94,115,0.3732057416267942,0.0045204162597656,0.99658203125,0.6684784584857048,0.1886952939240828,0.1565217391304377,0.84688995215311,0.301025390625,0.8285256410256411,0.7751196172248804,0.7597132284921368,0.8507462686567164,0.6063829787234043,0.9130434782608696,0.7080745341614907,0.5536755427878182,105,10,37,57,0.9138760407030528,0.8932197630427751,94,115,0.3205741626794258,0.034759521484375,0.9736328125,0.618586114112367,0.1902370287024456,0.7751196172248804,0.9138760407030528,0.0,0.0264174791732422,1.1270796728073331,0.9205128205128204,0.9205128205128206,0.8942307692307693,0.953846153846154,0.8871794871794871,0.9230769230769232,0.8429008398776461,173,22,9,186,0.9767784352399737,0.9695839827456793,195,195,0.5333333333333333,0.035400390625,0.9169921875,0.7179286858974359,0.2558969350961538,0.0461538461538461,0.1128205128205128,0.0794871794871794,0.0794871794871794,0.241025641025641,0.9767784352399737,0.6363636363636364,11,1.0,19,1.0,14,1.0,6,1.0,14,1.0,4,1.0,20,1.0,6,1.0,12,0.9696969696969696,33,1.0,21,0.9375,16,0.7272727272727273,11,1.0,8,0.8769230769230769,0.8769230769230769,0.9248554913294798,0.8205128205128205,0.9333333333333332,0.8695652173913043,0.7586900985726639,182,13,35,160,0.9597370151216305,0.9531357145579148,195,195,0.4435897435897435,0.030731201171875,0.9736328125,0.764540765224359,0.1641927083333333,0.8769230769230769,0.9597370151216305,0.9289303832074058,0.9289303832074058,0.9007975758438294,0.9289303832074058,0.017846277777777777,0.020523219444444442,0.010138470405555555,10.138470405555555,7.346666666666667
3,run01,0.00029848,440.9,145.8,0.86066,0.14834,0.02666,0.98371,0.8667,1.4662,0.6671,0.5042296005830275,0.0,1.1533409832221158,0.7942583732057417,0.7858464384828863,0.8148148148148148,0.7021276595744681,0.8695652173913043,0.7542857142857143,0.5837516670978781,100,15,28,66,0.8801110083256245,0.8817230526276414,94,115,0.3875598086124402,6.300210952758789e-05,1.0,0.7048280594196725,0.1604017371716706,0.1826086956528184,0.8181818181818182,0.254150390625,0.7884615384615384,0.8373205741626795,0.827890841813136,0.8846153846153846,0.7340425531914894,0.9217391304347826,0.8023255813953488,0.6745112230498639,106,9,25,69,0.912904717853839,0.8990575302240773,94,115,0.3732057416267942,0.0083770751953125,0.998046875,0.6830820935837766,0.1521371592646059,0.8373205741626795,0.912904717853839,0.0,0.0238156813488321,1.003910134945597,0.941025641025641,0.941025641025641,0.9479166666666666,0.9333333333333332,0.9487179487179488,0.9405684754521964,0.8821556853518846,185,10,13,182,0.9814069690992768,0.9631936547456896,195,195,0.4923076923076923,0.0054283142089843,0.98583984375,0.8049792167467948,0.1662982060359074,0.0666666666666666,0.0512820512820512,0.0589743589743589,0.0589743589743589,0.0564102564102564,0.9814069690992768,0.6363636363636364,11,1.0,19,1.0,14,1.0,6,1.0,14,1.0,4,0.95,20,0.8333333333333334,6,1.0,12,0.9393939393939394,33,1.0,21,0.875,16,0.7272727272727273,11,1.0,8,0.9153846153846154,0.9153846153846156,0.905,0.9282051282051282,0.9025641025641026,0.9164556962025316,0.8310424651889748,176,19,14,181,0.9716502301117688,0.9627890877979508,195,195,0.5128205128205128,0.0060958862304687,0.99560546875,0.8878893729967948,0.1431134346203926,0.9153846153846154,0.9716502301117688,0.9307589887124508,0.9307589887124508,0.9105683246756328,0.9307589887124508,0.01785645,0.020534917499999996,0.010144249244999999,10.144249245,7.348333333333333
4,run01,0.00029394,441.1,146.0,0.48839,0.03489,0.00783,0.69445,0.861,1.527,0.6119,0.7066357381804407,0.0,1.1926931899111226,0.8038277511961722,0.7906567992599445,0.8732394366197183,0.6595744680851063,0.9217391304347826,0.7515151515151515,0.6105969235857351,106,9,32,62,0.8804347826086956,0.8858097392410408,94,115,0.3397129186602871,1.3113021850585938e-06,1.0,0.660182553402921,0.1014890561933102,0.1826086956535688,0.8181818181818182,0.093017578125,0.7708333333333334,0.8277511961722488,0.8182238667900092,0.8717948717948718,0.723404255319149,0.9130434782608696,0.7906976744186046,0.654625083168721,105,10,26,68,0.9203977798334876,0.9094342268426824,94,115,0.3732057416267942,0.0005955696105957,1.0,0.6834371039207946,0.0978287240733271,0.8277511961722488,0.9203977798334876,0.0,0.029808669979756,0.9537322280966506,0.9487179487179488,0.9487179487179488,0.9441624365482234,0.953846153846154,0.9435897435897436,0.9489795918367347,0.8974831035743467,184,11,9,186,0.9831163708086784,0.9698567575757402,195,195,0.5051282051282051,0.0002672672271728,0.99951171875,0.899019055488782,0.1212375359657483,0.0461538461538461,0.0564102564102564,0.0512820512820512,0.0512820512820512,0.1738461538461538,0.9831163708086784,0.8181818181818182,11,1.0,19,1.0,14,1.0,6,1.0,14,1.0,4,1.0,20,0.8333333333333334,6,1.0,12,0.9090909090909092,33,1.0,21,0.9375,16,0.8181818181818182,11,1.0,8,0.9282051282051282,0.9282051282051282,0.9113300492610836,0.9487179487179488,0.9076923076923076,0.9296482412060302,0.8571318808952735,177,18,10,185,0.9757001972386588,0.968496018012388,195,195,0.5205128205128206,0.0004124641418457,1.0,0.9167263715695112,0.1078078917967967,0.9282051282051282,0.9757001972386588,0.931775576708687,0.931775576708687,0.914576365663322,0.931775576708687,0.017889055555555557,0.02057241388888889,0.010162772461111112,10.162772461111112,7.3516666666666675
5,run01,0.00028649,440.7,146.01,0.32305,0.01013,0.0016,0.53272,0.8625,1.5841,0.5534,0.9211008283256484,0.0,1.3521799647583153,0.7990430622009569,0.7853376503237743,0.8714285714285714,0.648936170212766,0.9217391304347826,0.7439024390243902,0.6015136721724222,106,9,33,61,0.8785846438482887,0.8872823069099188,94,115,0.3349282296650718,0.0,1.0,0.6465671461947421,0.0802401625591775,0.2000000000018927,0.8229665071770335,0.1964111328125,0.7692307692307692,0.7942583732057417,0.7761332099907493,0.918032786885246,0.5957446808510638,0.9565217391304348,0.7225806451612903,0.6043182487552716,110,5,38,56,0.9100370027752082,0.8964393102900123,94,115,0.291866028708134,8.612871170043945e-05,1.0,0.6062053315182949,0.0598839272623476,0.7942583732057417,0.9100370027752082,0.0,0.0493863719059867,0.9103657934738664,0.935897435897436,0.935897435897436,0.8935185185185185,0.9897435897435898,0.882051282051282,0.9391727493917276,0.8768946525027449,172,23,2,193,0.985456936226167,0.9673929265205964,195,195,0.5538461538461539,3.3974647521972656e-05,1.0,0.9658215645032052,0.1510792545783214,0.0102564102564102,0.1179487179487179,0.0641025641025641,0.0641025641025641,0.1733333333333333,0.985456936226167,1.0,11,1.0,19,1.0,14,1.0,6,1.0,14,1.0,4,1.0,20,0.8333333333333334,6,1.0,12,0.9696969696969696,33,1.0,21,1.0,16,1.0,11,1.0,8,0.935897435897436,0.935897435897436,0.9292929292929292,0.9435897435897436,0.9282051282051282,0.9363867684478372,0.8718980611036069,181,14,11,184,0.9788428665351742,0.9654370177463932,195,195,0.5076923076923077,7.903575897216797e-05,1.0,0.9277262761042668,0.0851864038369594,0.935897435897436,0.9788428665351742,0.932020790037228,0.932020790037228,0.9072410398728624,0.932020790037228,0.0178740575,0.020555166124999996,0.010154252065749998,10.154252065749999,7.345
6,run01,0.00027627,440.3,145.95,0.23643,0.00247,0.00056,0.44081,0.8536,1.6422,0.5042,0.9405054718233848,0.0,1.6347505320917886,0.8181818181818182,0.8095282146160963,0.85,0.723404255319149,0.8956521739130435,0.7816091954022989,0.6335825925570104,103,12,26,68,0.8854301572617947,0.8939221332134013,94,115,0.3827751196172249,0.0,1.0,0.7213685379383412,0.1114922321361044,0.1999999999995123,0.8229665071770335,0.0297088623046875,0.7868589743589743,0.7368421052631579,0.711332099907493,0.9148936170212766,0.4574468085106383,0.9652173913043478,0.6099290780141844,0.5036187315425524,111,4,51,43,0.917113783533765,0.8974571626620107,94,115,0.2248803827751196,4.434585571289063e-05,1.0,0.460851621120534,0.0386683241180751,0.7368421052631579,0.917113783533765,0.0,0.0459783017222076,0.9458991584120964,0.9512820512820512,0.9512820512820512,0.919047619047619,0.9897435897435898,0.9128205128205128,0.9530864197530864,0.9052463197776058,178,17,2,193,0.9856147271531888,0.9689008992434072,195,195,0.5384615384615384,1.6808509826660156e-05,1.0,0.961767578125,0.1126287967730791,0.0102564102564102,0.0871794871794871,0.0487179487179487,0.0487179487179487,0.155,0.9856147271531888,1.0,11,1.0,19,1.0,14,1.0,6,1.0,14,1.0,4,1.0,20,0.8333333333333334,6,1.0,12,0.9696969696969696,33,1.0,21,1.0,16,1.0,11,1.0,8,0.9230769230769232,0.9230769230769232,0.9319371727748692,0.9128205128205128,0.9333333333333332,0.922279792746114,0.8463319228866527,182,13,17,178,0.9764234056541748,0.9636870824704354,195,195,0.4897435897435897,3.4809112548828125e-05,1.0,0.9006242898794321,0.0706251838268377,0.9230769230769232,0.9764234056541748,0.9355224422074916,0.9355224422074916,0.918356104271923,0.9355224422074916,0.017850495833333334,0.020528070208333332,0.010140866682916666,10.140866682916666,7.338333333333334
7,run01,0.00026348,440.1,145.85,0.18275,0.00024,0.00011,0.37739,0.8581,1.679,0.463,1.1020054514381976,0.0,1.294981982066946,0.8133971291866029,0.8032377428307123,0.8571428571428571,0.7021276595744681,0.9043478260869564,0.7719298245614035,0.6254516891228555,104,11,28,66,0.876873265494912,0.8875105654223597,94,115,0.3684210526315789,0.0,1.0,0.6924439554518842,0.0988843347715294,0.199999999999457,0.8325358851674641,0.1728515625,0.7756410256410257,0.7799043062200957,0.7611470860314524,0.9,0.574468085106383,0.9478260869565216,0.7012987012987013,0.5743270447252282,109,6,40,54,0.9228492136910268,0.9028174831407728,94,115,0.2870813397129186,8.684396743774414e-05,1.0,0.5919755063158401,0.0620069648908532,0.7799043062200957,0.9228492136910268,0.0,0.0663407478411814,0.9600514244972445,0.9384615384615383,0.9384615384615383,0.8940092165898618,0.9948717948717948,0.882051282051282,0.941747572815534,0.8825578697682008,172,23,1,194,0.9869428007889548,0.974284963331216,195,195,0.5564102564102564,6.377696990966797e-06,1.0,0.9804361979166668,0.134354188809028,0.0051282051282051,0.1179487179487179,0.0615384615384615,0.0615384615384615,0.2799999999999999,0.9869428007889548,1.0,11,1.0,19,1.0,14,1.0,6,1.0,14,1.0,4,1.0,20,0.8333333333333334,6,1.0,12,1.0,33,1.0,21,1.0,16,1.0,11,1.0,8,0.9435897435897436,0.9435897435897436,0.9138755980861244,0.9794871794871794,0.9076923076923076,0.9455445544554456,0.88947484952844,177,18,4,191,0.9736620644312952,0.9537236879579106,195,195,0.5358974358974359,3.975629806518555e-05,1.0,0.9648953951322116,0.108564942005353,0.9435897435897436,0.9736620644312952,0.9319080331419334,0.9319080331419334,0.9076674019782252,0.9319080331419334,0.0178301625,0.020504686874999997,0.010129315316249998,10.129315316249999,7.335
8,run01,0.0002484,439.7,145.75,0.15058,0.00013,3e-05,0.33803,0.8613,1.7064,0.4324,1.107575047275303,0.0,1.167892943575697,0.8229665071770335,0.8119333950046254,0.88,0.7021276595744681,0.9217391304347826,0.7810650887573964,0.6470259271699151,106,9,28,66,0.881313598519889,0.8934212279336781,94,115,0.3588516746411483,0.0,1.0,0.6925762574723426,0.0820161259692648,0.1914893617021283,0.8421052631578947,0.19775390625,0.7900641025641025,0.8277511961722488,0.8182238667900092,0.8717948717948718,0.723404255319149,0.9130434782608696,0.7906976744186046,0.654625083168721,105,10,26,68,0.9271970397779832,0.9077173491644616,94,115,0.3732057416267942,9.316205978393556e-05,1.0,0.7072796720139524,0.0878259850584942,0.8277511961722488,0.9271970397779832,0.0,0.0679269931179388,1.013789302232314,0.946153846153846,0.946153846153846,0.9027777777777778,1.0,0.8923076923076924,0.948905109489051,0.8975274678557507,174,21,0,195,0.9868244575936884,0.9744588605046526,195,195,0.5538461538461539,1.96695327758789e-06,1.0,0.9820738181089744,0.1345289343442672,0.0,0.1076923076923077,0.0538461538461538,0.0538461538461538,0.295,0.9868244575936884,1.0,11,1.0,19,1.0,14,1.0,6,1.0,14,1.0,4,1.0,20,1.0,6,1.0,12,1.0,33,1.0,21,1.0,16,1.0,11,1.0,8,0.9256410256410256,0.9256410256410256,0.8842592592592593,0.9794871794871794,0.8717948717948718,0.929440389294404,0.8562618371497391,170,25,4,191,0.974819197896121,0.9578972099810762,195,195,0.5538461538461539,3.790855407714844e-05,1.0,0.9745567908653846,0.1295035310280628,0.9256410256410256,0.974819197896121,0.9340690280567888,0.9340690280567888,0.9137337223368676,0.9340690280567888,0.017801743055555555,0.02047200451388889,0.01011317022986111,10.11317022986111,7.328333333333333
9,run01,0.00023133,439.9,145.66,0.13174,8e-05,4e-05,0.31287,0.8635,1.7272,0.4092,1.1937928630414203,0.0,1.1695795936404534,0.7942583732057417,0.7829324699352451,0.84,0.6702127659574468,0.8956521739130435,0.7455621301775148,0.5868709366100787,103,12,31,63,0.8743755781683626,0.8768452740418113,94,115,0.3588516746411483,0.0,1.0,0.6830958533794322,0.0955050872719806,0.1914893617021277,0.8373205741626795,0.10107421875,0.7836538461538461,0.8373205741626795,0.8298334875115634,0.8658536585365854,0.7553191489361702,0.9043478260869564,0.8068181818181818,0.6720921189051419,104,11,23,71,0.9248843663274746,0.9070899534740456,94,115,0.3923444976076555,5.066394805908203e-05,1.0,0.7188311434806661,0.0974308552949324,0.8373205741626795,0.9248843663274746,0.0,0.0724140569778421,0.9287360777356186,0.935897435897436,0.935897435897436,0.8899082568807339,0.9948717948717948,0.8769230769230769,0.9394673123486684,0.8779230489516269,171,24,1,194,0.9874161735700197,0.9760059911743172,195,195,0.558974358974359,3.0994415283203125e-06,1.0,0.9828187600160256,0.1366466601689656,0.0051282051282051,0.123076923076923,0.0641025641025641,0.0641025641025641,0.335,0.9874161735700197,1.0,11,1.0,19,1.0,14,1.0,6,1.0,14,1.0,4,1.0,20,1.0,6,1.0,12,0.9696969696969696,33,1.0,21,1.0,16,1.0,11,1.0,8,0.9333333333333332,0.9333333333333332,0.9082125603864736,0.964102564102564,0.9025641025641026,0.9353233830845772,0.8683123679667862,176,19,7,188,0.980499671268902,0.9711753065835382,195,195,0.5307692307692308,2.9087066650390625e-05,1.0,0.9625264876928084,0.1022441686728061,0.9333333333333332,0.980499671268902,0.9308958758691912,0.9308958758691912,0.9051365070328992,0.9308958758691912,0.017798842777777775,0.020468669194444438,0.010111522582055553,10.111522582055553,7.331666666666666
